Time,IAC
0,0.0908527920260684
5,0.996332301771524
10,0.9089154065752607
15,1.4303758935737683
20,1.8721419151100973
25,2.0716317186410294
30,2.5714091544750186
35,2.837161909171808
40,3.1730319892031615
45,3.279882498398282
50,2.979698207067091
55,3.045448869924478
60,2.973685917924608
65,2.6756561867183986
70,2.578543487931066
75,2.214086535773318
80,2.30663354675278
85,2.166402508002252
90,1.5973172886904705
95,2.0517568302106826
100,1.875601716877041
105,2.165823372082939
110,1.8020020261199574
115,1.6128296633527135
120,1.4508151776915637
125,1.2583797537346397
130,1.4640161811641101
135,1.3460389853766532
140,1.0842011703201824
145,1.026675648280699
150,0.5352504413591432
155,0.9866279439862915
160,0.8950048870175578
165,1.0206359134758927
170,0.619531609049929
175,0.6164617736202653
180,0.5560520946510035
185,0.51033372193131
190,0.4205622103347389
195,0.49955357367657327
200,0.5375374088562535
205,0.15826470314800756
210,0.256054735568794
215,0.38137080889768193
220,0.4980206949908187
225,0.28115744948835425
230,0.31783925754089876
235,0.28900640153722085
240,0.33751090677490597
245,-0.009196059789857755
250,-0.26396044612488095
255,-0.01934634855636339
260,-0.03661584497984193
265,-0.21765047216950587
270,0.05095852989465966
275,-0.2494760898502971
280,-0.17310602768075792
285,-0.3048166912543034
290,0.10480990825631052
295,-0.11487685768906282
